191|*|POCONOS, PA.|*|USA|*|41.118226|*|-75.39631
68|*|ROSE CITY|*|USA|*||*|
12|*|Massachusetts|*|USA|*|42.170731|*|-72.604842
0|*|Portland|*|USA|*|45.580557|*|-122.374776
4|*|Central New Jersey|*|USA|*|40.74765|*|-74.25881
256|*|southeast missouri|*|USA|*||*|
29|*|Litchfield|*|USA|*|41.754255|*|-73.21268
74|*|The world's #1 perfume shop....Orlando, Fl|*|USA|*|39.790911|*|-75.64934
270|*|Gainesville, Florida|*|USA|*||*|
53|*|RI|*|USA|*|41.830469|*|-71.711713
229|*|Wonderful in the Winter Arizona!|*|USA|*|33.498076|*|-111.98603
9|*|Vista, CA|*|USA|*|33.016928|*|-116.846046
46|*|Buy it now=Free S & H|*|USA|*||*|
108|*|Northern Delaware|*|USA|*|37.571581|*|-122.0509
44|*|ALBUQUERQUE,NM|*|USA|*|35.044339|*|-106.672872
218|*|phoenix|*|USA|*||*|
221|*|Dresden, OHIO|*|USA|*|40.130754|*|-82.01637
126|*|BAY AUCTIONS & ANTIQUES, Toms River NJ|*|USA|*||*|
30|*|Great deals -- Fast shipping!|*|USA|*||*|
50|*|Darkest Recesses of Your Mind, Pa.|*|USA|*|39.916262|*|-75.26517
19|*|I LOVE U.S.|*|Taiwan|*||*|
181|*|KATY|*|USA|*||*|
230|*|Palos Hills, IL|*|USA|*|41.699432|*|-87.82977
167|*|PAYPAL VERIFIED|*|USA|*||*|
269|*|Edmond, OK|*|USA|*||*|
151|*|Portland, PA|*|USA|*|40.920622|*|-75.09773
187|*|Lovington, IL|*|USA|*||*|
315|*|Barnegat, NJ|*|USA|*|39.759581|*|-74.27398
206|*|Staten Island|*|USA|*|40.606337|*|-74.14513
81|*|Casselberry, FL|*|USA|*|28.653875|*|-81.34387
150|*|Cranberry PA.|*|USA|*||*|
112|*|Texas|*|USA|*|32.96129|*|-96.83751
155|*|Jackson, NJ|*|USA|*||*|
103|*|DRWHO64@AOL.COM|*|USA|*||*|
68|*|GRAYSON GA.|*|USA|*||*|
124|*|I combine shipping on multiple items won - so check out my other auctions and save!|*|USA|*||*|
263|*|Tallmadge, Ohio|*|USA|*||*|
104|*|eton berkshire|*|United Kingdom|*||*|
122|*|Southwest Washington State|*|USA|*||*|
224|*|Monmouth County, NJ|*|USA|*|40.332877|*|-73.97986
139|*|Weyauwega Wi|*|USA|*||*|
356|*|HAVE A GREAT DAY AND GOOD LUCK BIDDING|*|USA|*||*|
134|*|Youngstown, Ohio|*|USA|*||*|
26|*|IDAHO FALLS, ID|*|USA|*||*|
572|*|chicago|*|USA|*|41.811929|*|-87.68732
106|*|Stanford, CA|*|USA|*||*|
95|*|carolina|*|USA|*||*|
